2015-01-01	3
2015-01-03	3
2015-01-05	1
2015-01-06	1
2015-01-10	1
2015-01-13	2
2015-01-15	2
2015-01-17	1
2015-01-19	1
2015-01-20	1
2015-01-26	1
2015-01-27	1
2015-02-04	2
2015-02-05	1
2015-02-07	1
2015-02-08	1
2015-02-09	1
2015-02-10	1
2015-02-11	3
2015-02-15	1
2015-02-16	1
2015-02-17	2
2015-02-20	2
2015-02-21	2
2015-03-02	2
2015-03-04	1
2015-03-06	2
2015-03-10	1
2015-03-12	1
2015-03-13	1
2015-03-15	1
2015-03-16	2
2015-03-18	1
2015-03-19	1
2015-03-23	1
2015-03-27	1
2015-04-01	2
2015-04-03	1
2015-04-04	1
2015-04-05	1
2015-04-07	1
2015-04-08	2
2015-04-13	1
2015-04-14	1
2015-04-15	1
2015-04-17	1
2015-04-22	3
2015-04-23	2
2015-04-28	1
2015-05-02	1
2015-05-11	1
2015-05-12	1
2015-05-14	2
2015-05-15	1
2015-05-17	2
2015-05-18	1
2015-05-21	1
2015-05-22	1
2015-05-25	2
2015-06-02	1
2015-06-04	1
2015-06-06	2
2015-06-08	1
2015-06-09	1
2015-06-10	2
2015-06-13	2
2015-06-18	2
2015-06-21	1
2015-06-22	1
2015-06-25	1
2015-06-26	1
2015-06-28	1
2015-07-01	1
2015-07-04	1
2015-07-05	1
2015-07-06	1
2015-07-08	1
2015-07-16	2
2015-07-19	1
2015-07-21	1
2015-07-22	1
2015-07-23	1
2015-07-25	1
2015-07-28	3
2015-08-01	1
2015-08-03	1
2015-08-05	1
2015-08-06	1
2015-08-07	2
2015-08-10	1
2015-08-11	1
2015-08-14	1
2015-08-18	1
2015-08-19	1
2015-08-20	1
2015-08-21	1
2015-08-23	1
2015-08-24	1
2015-08-25	1
2015-08-26	1
2015-08-27	2
2015-08-28	1
2015-09-01	2
2015-09-03	1
2015-09-06	3
2015-09-07	2
2015-09-08	1
2015-09-14	1
2015-09-15	1
2015-09-16	1
2015-09-23	1
2015-09-25	1
2015-09-27	1
2015-10-01	1
2015-10-02	4
2015-10-04	1
2015-10-09	1
2015-10-12	1
2015-10-14	3
2015-10-21	1
2015-10-24	1
2015-10-26	2
2015-10-27	1
2015-11-03	3
2015-11-09	1
2015-11-10	2
2015-11-12	1
2015-11-14	1
2015-11-16	1
2015-11-17	1
2015-11-19	1
2015-11-21	1
2015-11-22	1
2015-11-23	1
2015-11-24	3
2015-11-27	1
2015-11-28	1
2015-12-02	1
2015-12-04	1
2015-12-05	1
2015-12-06	1
2015-12-07	1
2015-12-09	1
2015-12-14	1
2015-12-15	1
2015-12-17	2
2015-12-20	1
2015-12-22	1
2015-12-26	2
2015-12-27	2
2016-01-01	1
2016-01-02	1
2016-01-04	1
2016-01-06	3
2016-01-07	1
2016-01-08	1
2016-01-09	4
2016-01-10	1
2016-01-11	2
2016-01-12	1
2016-01-14	1
2016-01-16	1
2016-01-18	1
2016-01-21	1
2016-01-25	1
