1, 218, 76, 4
2, 370, 15, 4
3, 217, 37, 9
4, 1209, 46, 2
5, 1225, 14, 4
6, 298, 74, 4
7, 1820, 71, 1
8, 292, 55, 8
9, 377, 42, 4
10, 66, 72, 5
11, 396, 57, 6
12, 75, 24, 4
13, 208, 17, 4
14, 1050, 21, 1
15, 731, 83, 3
16, 653, 100, 4
17, 1903, 43, 7
18, 1548, 84, 5
19, 665, 82, 2
20, 923, 78, 3
21, 1701, 44, 3
22, 883, 73, 5
23, 374, 88, 8
24, 1670, 48, 5
25, 135, 92, 1
26, 435, 38, 10
27, 1840, 76, 9
28, 331, 44, 6
29, 1242, 95, 4
30, 955, 32, 8
31, 334, 44, 3
32, 1020, 30, 1
33, 836, 8, 4
34, 1118, 89, 4
35, 1766, 31, 6
36, 1642, 26, 1
37, 490, 65, 6
38, 1474, 69, 2
39, 1986, 12, 7
40, 598, 51, 1
41, 173, 52, 3
42, 308, 69, 4
43, 136, 71, 3
44, 1803, 19, 6
45, 1696, 60, 2
46, 861, 59, 1
47, 317, 73, 8
48, 280, 57, 2
49, 1647, 28, 6
50,1085,18,6
51, 143, 74, 6
52, 1000, 52, 9
53, 331, 18, 8
54,  368,  77,  1
55, 730, 75, 10
56, 1608, 13, 5
57, 802, 81, 1
58, 837, 25, 5
59, 1153, 9, 3
60, 779, 79, 3
61,1305,71,5
62, 1698, 20, 6
63, 1298, 50, 7
64, 482, 66, 5
65, 1710, 100, 2
66, 1652, 9, 2
67, 429, 29, 10
68, 426, 40, 10
69, 1950, 73, 3
70, 1304, 86, 6
71, 1833, 18, 6
72, 1240, 45, 2
73, 31, 95, 3
74, 1613, 64, 6
75, 649, 7, 4
76, 595, 18, 9
77, 1328, 42, 1
78, 693, 36, 8
79, 1348, 65, 9
80, 1905, 56, 2
81, 731, 39, 10
82,  1380,  30,  2
83, 1098, 52, 4
84, 396, 87, 6
85, 607, 99, 1
86, 1954, 39, 6
87, 1776, 88, 4
88, 1311, 87, 5
89, 564, 22, 10
90, 678, 98, 5
91, 399, 37, 2
92, 257, 93, 10
93, 115, 57, 8
94, 139, 7, 2
95, 1076, 3, 6
96, 1275, 62, 8
97, 240, 47, 6
98, 793, 49, 6
99,  560,  75,  8
100, 1209, 10, 2
101, 1952, 56, 7
102, 679, 72, 7
103, 770, 95, 4
104, 895, 59, 3
105, 1569, 18, 9
106, 810, 26, 3
107, 1241, 70, 5
108, 1718, 75, 7
109, 336, 90, 4
110, 1523, 31, 1
111, 613, 41, 7
112, 1331, 79, 2
113, 1266, 78, 7
114, 801, 62, 3
115, 1873, 6, 2
116, 281, 40, 9
117, 1728, 76, 6
118, 1119, 85, 7
119, 614, 89, 4
120, 1530, 78, 6
121, 1484, 50, 3
122, 1208, 78, 1
123,  428,  6,  1
124, 1078, 80, 8
125, 862, 65, 7
126, 1606, 74, 2
127, 433, 50, 6
128, 254, 36, 1
129, 475, 83, 5
130, 1892, 27, 3
131, 1502, 77, 1
132, 1854, 32, 6
133, 45, 40, 10
134, 620, 73, 9
135, 776, 31, 7
136, 1603, 95, 9
137, 1071, 55, 6
138, 500, 74, 7
139, 530, 34, 10
140, 346, 25, 8
141, 14, 60, 8
142, 1948, 46, 2
143, 1887, 36, 5
144, 1679, 42, 4
145, 9, 46, 4
146, 1268, 29, 7
147, 1599, 37, 1
148, 1510, 80, 9
149, 1076, 50, 1
150, 1475, 43, 10
151, 1436, 26, 1
152, 890, 40, 2
153, 1996, 77, 1
154, 26, 52, 2
155, 1318, 20, 5
156, 1900, 52, 7
157, 964, 66, 2
158, 1663, 12, 1
159, 124, 75, 4
160, 1429, 8, 10
161,1574,72,3
162,  1476,  3,  8
163, 1976, 10, 9
164, 732, 55, 9
165, 74, 69, 9
166, 868, 48, 9
167, 708, 96, 2
168, 697, 8, 9
169, 161, 1, 10
170, 1772, 78, 4
171, 1418, 1, 1
172, 149, 69, 5
173, 1633, 82, 7
174, 1430, 69, 2
175, 1454, 50, 7
176, 17, 38, 4
177,  1234,  10,  9
178, 606, 87, 9
179, 1853, 44, 2
180, 1037, 85, 7
181,253,70,9
182, 1788, 84, 8
183, 996, 88, 9
184, 206, 63, 6
185, 574, 73, 2
186, 766, 61, 9
187, 1938, 83, 6
188, 1797, 24, 7
189, 739, 23, 10
190, 1718, 62, 1
191, 1611, 64, 6
192, 508, 89, 1
193, 1152, 74, 10
194, 1280, 98, 7
195, 1024, 73, 6
196, 1127, 45, 7
197, 315, 6, 9
198, 1920, 39, 9
199, 1090, 1, 3
200, 1112, 28, 7
201, 566, 49, 8
202, 1822, 1, 3
203, 1292, 76, 9
204,  261,  66,  1
205, 1924, 64, 1
206, 940, 37, 8
207, 1515, 28, 3
208, 1283, 30, 8
209, 162, 89, 3
210, 391, 54, 1
211, 1162, 75, 9
212, 1694, 71, 2
213, 660, 54, 5
214, 1295, 74, 8
215, 1936, 64, 3
216, 871, 87, 4
217, 44, 95, 8
218, 123, 7, 4
219, 605, 87, 6
220, 784, 46, 7
221, 1874, 32, 5
222, 919, 96, 1
223, 1312, 3, 8
224, 1633, 93, 9
225, 1552, 7, 4
226, 1854, 89, 1
227, 1830, 30, 9
228, 1845, 87, 4
229, 203, 55, 1
230, 1228, 69, 7
231, 1038, 73, 10
232, 1058, 41, 8
233, 1581, 66, 9
234, 962, 53, 10
235, 178, 96, 10
236, 1515, 41, 10
237, 1644, 65, 6
238, 1462, 98, 2
239, 1881, 56, 5
240, 1787, 82, 6
241, 1025, 96, 5
242, 966, 91, 10
243, 1628, 44, 9
244, 1075, 10, 4
245, 1730, 60, 7
246, 413, 68, 8
247, 829, 73, 2
248, 61, 48, 5
249, 1121, 29, 7
250, 77, 96, 8
251, 970, 24, 5
252, 1877, 20, 10
253, 1534, 75, 1
254, 1397, 40, 7
255, 1474, 42, 7
256, 1217, 12, 9
257,1664,20,9
258, 506, 90, 7
259,  309,  48,  8
260, 395, 90, 6
261, 774, 18, 2
262, 1008, 39, 9
263, 831, 35, 6
264, 827, 32, 8
265, 552, 98, 2
266,1622,14,2
267, 109, 90, 7
268, 1432, 87, 5
269, 442, 44, 6
270, 1597, 37, 7
271, 853, 40, 1
272, 927, 22, 6
273, 788, 36, 10
274, 639, 10, 6
275, 25, 14, 7
276, 1157, 19, 4
277, 1223, 69, 5
278,877,54,4
279, 1095, 69, 2
280, 153, 85, 9
281, 178, 90, 1
282, 1905, 57, 8
283, 257, 4, 4
284, 117, 18, 10
285,  363,  55,  3
286, 888, 62, 1
287,  1752,  70,  1
288, 1416, 61, 3
289, 1736, 66, 6
290, 1344, 60, 9
291, 857, 9, 6
292, 826, 24, 7
293, 646, 36, 6
294, 506, 73, 4
295, 1379, 12, 4
296, 118, 46, 8
297, 481, 99, 8
298, 1538, 58, 8
299, 366, 63, 4
300, 723, 26, 1
301, 1333, 27, 4
302, 1957, 91, 2
303, 755, 63, 7
304, 1349, 65, 8
305, 1035, 53, 9
306, 1690, 47, 8
307,  327,  37,  2
308, 1067, 30, 10
309, 76, 16, 3
310, 1976, 83, 7
311, 1556, 56, 2
312, 1112, 94, 6
313, 1203, 53, 5
314, 1949, 21, 9
315, 1268, 65, 8
316, 406, 31, 3
317, 464, 90, 1
318, 857, 29, 2
319, 295, 50, 3
320,  79,  82,  5
321, 249, 30, 1
322, 640, 35, 3
323, 1540, 73, 6
324, 575, 60, 5
325, 846, 38, 6
326, 1382, 49, 6
327, 253, 77, 1
328, 176, 40, 1
329, 1943, 65, 6
330, 445, 62, 5
331, 943, 93, 10
332, 1397, 31, 1
333, 122, 44, 9
