1, 993, 36, 3
2, 1432, 83, 5
3, 1849, 37, 4
4, 572, 44, 2
5, 1834, 58, 5
6, 263, 78, 10
7, 1131, 70, 6
8, 570, 51, 10
9, 1591, 63, 4
10, 4, 8, 5
11, 1219, 72, 5
12, 1518, 41, 5
13, 1182, 38, 2
14, 775, 1, 6
15, 847, 13, 4
16, 110, 16, 4
17, 398, 94, 8
18, 1420, 78, 10
19, 1930, 39, 5
20, 953, 87, 1
21, 1826, 32, 1
22, 1022, 5, 6
23, 1172, 24, 8
24, 990, 85, 5
25, 1150, 44, 7
26, 1727, 15, 1
27, 68, 35, 9
28, 821, 51, 3
29, 1595, 36, 2
30, 1908, 59, 3
31, 1180, 92, 7
32, 717, 7, 10
33, 234, 31, 10
34, 814, 15, 7
35, 1585, 27, 10
36, 63, 20, 5
37, 908, 66, 1
38, 314, 95, 3
39, 1995, 34, 2
40, 1351, 8, 1
41, 963, 88, 8
42, 1504, 64, 6
43, 1763, 90, 10
44, 1891, 98, 3
45, 1492, 44, 10
46, 528, 64, 10
47, 1147, 69, 10
48, 30, 70, 5
49, 134, 8, 6
50, 1838, 80, 2
51, 215, 58, 2
52, 766, 33, 6
53, 1603, 27, 9
54, 1914, 25, 5
55, 919, 3, 10
56, 629, 2, 6
57, 1870, 21, 2
58, 1515, 39, 8
59, 1275, 1, 7
60, 1092, 66, 4
61, 641, 81, 6
62, 1288, 51, 4
63, 673, 71, 8
64, 1223, 83, 8
65, 1206, 11, 4
66, 1087, 50, 10
67, 1973, 9, 1
68, 620, 89, 5
69, 757, 33, 4
70, 1386, 73, 7
71, 1926, 73, 1
72, 1631, 88, 7
73, 1035, 43, 8
74, 1700, 50, 3
75, 1865, 60, 1
76, 854, 93, 3
77, 753, 46, 9
78, 1657, 49, 2
79, 163, 61, 1
80, 248, 11, 6
81, 1885, 3, 1
82, 1315, 17, 4
83, 1970, 92, 6
84, 1242, 65, 8
85, 1281, 77, 6
86, 1985, 73, 7
87, 1631, 65, 3
88, 957, 66, 9
89, 1869, 9, 7
90, 1841, 7, 8
91, 719, 90, 5
92, 1422, 99, 10
93, 547, 39, 6
94, 375, 92, 6
95, 29, 57, 9
96, 620, 94, 2
97, 832, 40, 7
98, 1853, 97, 6
99, 1849, 91, 1
100, 842, 43, 5
101, 1481, 89, 4
102, 373, 84, 7
103, 21, 28, 10
104, 529, 1, 10
105, 942, 75, 7
106, 1628, 59, 7
107, 1248, 11, 2
108, 431, 31, 9
109, 1346, 39, 2
110, 398, 83, 7
111, 1454, 58, 5
112, 886, 2, 10
113, 102, 23, 3
114, 1562, 81, 9
115, 400, 46, 2
116, 1682, 90, 8
117, 524, 72, 1
118, 1727, 100, 3
119, 1493, 8, 4
120, 1611, 56, 7
121, 31, 5, 4
122, 1117, 73, 10
